Price,Close,High,Low,Open,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Datetime,,,,,
2023-08-07 00:00:00+00:00,31968.0703125,31971.94921875,31830.23046875,31921.279296875,0
2023-08-07 01:00:00+00:00,32141.359375,32147.7890625,31929.58984375,31965.939453125,0
2023-08-07 02:00:00+00:00,32190.310546875,32190.310546875,32134.349609375,32144.630859375,0
2023-08-07 03:00:00+00:00,32220.7109375,32237.130859375,32179.669921875,32227.55078125,0
2023-08-07 04:00:00+00:00,32224.310546875,32279.1796875,32146.140625,32220.669921875,0
2023-08-07 05:00:00+00:00,32281.41015625,32306.869140625,32183.609375,32224.44921875,0
2023-08-07 06:00:00+00:00,32254.560546875,32254.560546875,32254.560546875,32254.560546875,0
2023-08-08 00:00:00+00:00,32519.619140625,32528.279296875,32343.900390625,32430.609375,0
2023-08-08 01:00:00+00:00,32275.419921875,32539.880859375,32274.650390625,32519.470703125,0
2023-08-08 02:00:00+00:00,32358.099609375,32366.94921875,32238.58984375,32274.9296875,0
2023-08-08 03:00:00+00:00,32331.640625,32397.2890625,32331.3203125,32371.580078125,0
2023-08-08 04:00:00+00:00,32349.08984375,32380.4609375,32316.060546875,32332.0,0
2023-08-08 05:00:00+00:00,32365.720703125,32426.240234375,32338.7109375,32349.099609375,0
2023-08-08 06:00:00+00:00,32377.2890625,32377.2890625,32361.9296875,32361.9296875,0
2023-08-09 00:00:00+00:00,32323.900390625,32380.2109375,32220.05078125,32346.3203125,0
2023-08-09 01:00:00+00:00,32303.83984375,32407.849609375,32297.98046875,32315.48046875,0
2023-08-09 02:00:00+00:00,32241.630859375,32350.51953125,32241.630859375,32303.05078125,0
2023-08-09 03:00:00+00:00,32200.7109375,32230.970703125,32181.0390625,32203.580078125,0
2023-08-09 04:00:00+00:00,32234.8203125,32274.619140625,32175.640625,32201.529296875,0
2023-08-09 05:00:00+00:00,32247.2890625,32283.390625,32231.630859375,32234.580078125,0
2023-08-09 06:00:00+00:00,32204.330078125,32204.330078125,32204.330078125,32204.330078125,0
2023-08-10 00:00:00+00:00,32248.05078125,32258.619140625,32015.9609375,32015.9609375,0
2023-08-10 01:00:00+00:00,32233.900390625,32270.91015625,32178.619140625,32250.759765625,0
2023-08-10 02:00:00+00:00,32338.94921875,32353.130859375,32233.810546875,32233.810546875,0
2023-08-10 03:00:00+00:00,32387.33984375,32402.810546875,32342.240234375,32359.26953125,0
2023-08-10 04:00:00+00:00,32433.9609375,32444.529296875,32362.470703125,32389.83984375,0
2023-08-10 05:00:00+00:00,32503.9609375,32504.849609375,32428.7890625,32434.359375,0
2023-08-10 06:00:00+00:00,32473.650390625,32502.55078125,32473.650390625,32502.55078125,0
2023-08-14 00:00:00+00:00,32388.169921875,32613.990234375,32366.779296875,32456.720703125,0
2023-08-14 01:00:00+00:00,32327.19921875,32403.859375,32261.630859375,32385.2890625,0
2023-08-14 02:00:00+00:00,32160.30078125,32327.470703125,32157.80078125,32326.220703125,0
2023-08-14 03:00:00+00:00,32123.810546875,32170.0703125,32057.7109375,32153.390625,0
2023-08-14 04:00:00+00:00,32041.439453125,32123.490234375,32038.669921875,32123.490234375,0
2023-08-14 05:00:00+00:00,32083.25,32132.94921875,32031.5390625,32042.98046875,0
2023-08-14 06:00:00+00:00,32059.91015625,32085.2890625,32059.91015625,32085.2890625,0
2023-08-15 00:00:00+00:00,32328.859375,32403.9296875,32292.880859375,32372.529296875,0
2023-08-15 01:00:00+00:00,32340.669921875,32354.8203125,32232.849609375,32327.640625,0
2023-08-15 02:00:00+00:00,32315.609375,32345.669921875,32257.369140625,32345.669921875,0
2023-08-15 03:00:00+00:00,32341.650390625,32346.259765625,32295.58984375,32330.259765625,0
2023-08-15 04:00:00+00:00,32296.640625,32373.279296875,32296.640625,32341.0703125,0
2023-08-15 05:00:00+00:00,32240.75,32297.669921875,32218.2890625,32296.359375,0
2023-08-15 06:00:00+00:00,32238.890625,32238.890625,32217.51953125,32217.51953125,0
2023-08-16 00:00:00+00:00,31885.650390625,31997.279296875,31784.91015625,31965.580078125,0
2023-08-16 01:00:00+00:00,31885.05078125,31941.310546875,31853.279296875,31885.5390625,0
2023-08-16 02:00:00+00:00,31906.25,31921.16015625,31841.099609375,31885.310546875,0
2023-08-16 03:00:00+00:00,31902.380859375,31951.6796875,31878.849609375,31934.869140625,0
2023-08-16 04:00:00+00:00,31862.75,31917.1796875,31818.9609375,31901.259765625,0
2023-08-16 05:00:00+00:00,31787.80078125,31863.240234375,31780.720703125,31863.240234375,0
2023-08-16 06:00:00+00:00,31766.8203125,31795.779296875,31766.8203125,31795.779296875,0
2023-08-17 00:00:00+00:00,31455.689453125,31647.73046875,31417.470703125,31621.98046875,0
2023-08-17 01:00:00+00:00,31415.05078125,31456.30078125,31309.6796875,31454.55078125,0
2023-08-17 02:00:00+00:00,31478.900390625,31493.939453125,31400.5703125,31414.640625,0
2023-08-17 03:00:00+00:00,31628.5390625,31628.779296875,31565.73046875,31583.66015625,0
2023-08-17 04:00:00+00:00,31620.169921875,31704.080078125,31604.3203125,31628.939453125,0
2023-08-17 05:00:00+00:00,31601.259765625,31654.26953125,31534.580078125,31620.7890625,0
2023-08-17 06:00:00+00:00,31626.0,31626.0,31612.439453125,31612.439453125,0
2023-08-18 00:00:00+00:00,31356.76953125,31466.609375,31275.25,31321.259765625,0
2023-08-18 01:00:00+00:00,31571.689453125,31588.16015625,31339.470703125,31357.650390625,0
2023-08-18 02:00:00+00:00,31565.2109375,31644.890625,31554.16015625,31570.9609375,0
2023-08-18 03:00:00+00:00,31479.0390625,31488.560546875,31406.359375,31471.189453125,0
2023-08-18 04:00:00+00:00,31432.7890625,31508.470703125,31391.98046875,31479.33984375,0
2023-08-18 05:00:00+00:00,31455.689453125,31455.689453125,31321.169921875,31432.83984375,0
2023-08-18 06:00:00+00:00,31450.759765625,31474.369140625,31450.759765625,31474.369140625,0
2023-08-21 00:00:00+00:00,31669.970703125,31717.51953125,31501.2109375,31552.849609375,0
2023-08-21 01:00:00+00:00,31585.759765625,31674.2109375,31409.859375,31669.2109375,0
2023-08-21 02:00:00+00:00,31748.880859375,31758.69921875,31564.119140625,31584.91015625,0
2023-08-21 03:00:00+00:00,31675.740234375,31724.400390625,31662.7890625,31694.6796875,0
2023-08-21 04:00:00+00:00,31613.130859375,31697.189453125,31613.130859375,31673.900390625,0
2023-08-21 05:00:00+00:00,31549.150390625,31642.609375,31525.080078125,31610.099609375,0
2023-08-21 06:00:00+00:00,31565.640625,31565.640625,31534.849609375,31534.849609375,0
2023-08-22 00:00:00+00:00,31865.740234375,31906.099609375,31769.05078125,31792.599609375,0
2023-08-22 01:00:00+00:00,31751.55078125,31867.240234375,31693.759765625,31867.029296875,0
2023-08-22 02:00:00+00:00,31776.060546875,31798.640625,31727.130859375,31751.83984375,0
2023-08-22 03:00:00+00:00,31840.380859375,31843.630859375,31771.609375,31808.69921875,0
2023-08-22 04:00:00+00:00,31803.0,31842.599609375,31780.5703125,31839.970703125,0
